Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,event_type,should_count_in_ISA,classification_reason
3/1/2025 23:49:50.222,1300,PU1309,CHANGE,,,devctla.gop,S1,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:47:36.738,1500,DI1506A,BAD PV,ACK,,CE1501A FEED DENSITY,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:47:34.809,1500,MY1506A,BAD PV,ACK,,REJIN FEED CALC A,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:47:30.975,1500,MIC1506A,BAD PV,ACK,,RESIN FEED A,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:47:12.500,1500,MIC1506A,BAD PV,,L 00,RESIN FEED A,,t/h,UNKNOWN,False,Unknown condition: BAD PV
3/1/2025 23:47:11.400,1500,MY1506A,BAD PV,,L 00,REJIN FEED CALC A,,kg/h,UNKNOWN,False,Unknown condition: BAD PV
3/1/2025 23:47:10.900,1500,DI1506A,BAD PV,,L 00,CE1501A FEED DENSITY,,g/cc,UNKNOWN,False,Unknown condition: BAD PV
3/1/2025 23:44:48.514,8100,AI_PH10,ALARM,ACK PNT,,EFFULUENT CHANEL OLD W/S,,,OPERATOR_ACTION,False,Operator action: ACK PNT
3/1/2025 23:44:48.514,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:44:32.618,1300,XSV1324B,CHANGE,,,DEVCTLA.BYPPERM,OFF,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:44:21.200,8100,AI_PH10,PVHIHI,,H 00,EFFULUENT CHANEL OLD W/S,8.85707,pH,ALARM,True,New alarm: PVHIHI
3/1/2025 23:43:58.030,1300,XSV1324B,CHANGE,,,devctla.gop,S0,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:43:52.212,8500,FQC8104,PVLOW,ACK,,VE8607,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:43:47.817,1300,XSV1324B,CHANGE,,,devctla.gop,S1,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:43:46.685,1300,XSV1324B,CHANGE,,,DEVCTLA.BYPASS,ON,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:43:44.758,1300,XSV1324B,CHANGE,,,DEVCTLA.BYPPERM,ON,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:43:34.777,1300,XSV1324B,CHANGE,,,devctla.modeattr,OPERATOR,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:41:31.707,1500,PIC1511,CHANGE,,,pida.mode,AUTO,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:40:10.685,1500,FIC1513,BAD PV,ACK,,BL1502 SUCTION,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:40:02.268,1500,PIC1511,CHANGE,,,PIDA.OP,63,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:40:02.197,1500,PIC1511,CHANGE,,,PIDA.OP,64,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:40:01.388,1500,PIC1511,CHANGE,,,PIDA.OP,65,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:40:00.757,1500,PIC1511,CHANGE,,,PIDA.OP,66,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:39:32.200,1500,FIC1513,BAD PV,,L 00,BL1502 SUCTION,,Nm3/min,UNKNOWN,False,Unknown condition: BAD PV
3/1/2025 23:39:03.733,1500,PIC1511,CHANGE,,,PIDA.OP,67,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:55.400,8100,AI_PH10,PVLOLO,OK,H 00,EFFULUENT CHANEL OLD W/S,6.44096,pH,OPERATOR_ACTION,False,Operator action: OK
3/1/2025 23:38:52.539,1500,FIC1512,PVLOW,ACK,,BL1501 SUCTION,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:38:50.439,1500,FI1514BM,PVLOW,ACK,,DR1501 BM FLOW,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:38:47.925,1500,EI1506,PVLOW,ACK,,BL1502 CURRENT,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:38:45.645,1500,FIC1513,PVLOW,ACK,,BL1502 SUCTION,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:38:43.600,1500,FI1513,PVLOLO,,J 00,BL1502 SUCTION,19.8384,Nm3/min,ALARM,True,New alarm: PVLOLO
3/1/2025 23:38:43.500,1500,FI1513,PVLOW,,J 00,BL1502 SUCTION,19.8384,Nm3/min,ALARM,True,New alarm: PVLOW
3/1/2025 23:38:43.638,1500,FIC1513,PVLOLO,ACK,,BL1502 SUCTION,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:38:42.200,8500,FQC8104,PVLOW,,L 00,VE8607,9.97929,m3/h,ALARM,True,New alarm: PVLOW
3/1/2025 23:38:41.300,1500,FIC1513,PVLOLO,,H 00,BL1502 SUCTION,23.992,Nm3/min,ALARM,True,New alarm: PVLOLO
3/1/2025 23:38:37.778,1500,FIC1512,PVLOLO,ACK,,BL1501 SUCTION,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:38:31.500,1500,FIC1513,PVLOW,,L 00,BL1502 SUCTION,47.2955,Nm3/min,ALARM,True,New alarm: PVLOW
3/1/2025 23:38:22.300,1500,EI1506,PVLOW,,L 00,BL1502 CURRENT,9.73008,amp,ALARM,True,New alarm: PVLOW
3/1/2025 23:38:21.863,1500,PIC1511,CHANGE,,,PIDA.OP,77,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:20.539,1500,PIC1511,CHANGE,,,PIDA.OP,78,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:20.186,1500,PIC1511,CHANGE,,,PIDA.OP,79,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:19.906,1500,PIC1511,CHANGE,,,PIDA.OP,80,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:19.353,1500,PIC1511,CHANGE,,,PIDA.OP,81,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:19.551,1500,PIC1511,CHANGE,,,PIDA.OP,82,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:17.910,1500,PIC1511,CHANGE,,,pida.mode,MAN,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:10.115,1500,FIC1512,CHANGE,,,PIDA.OP,74.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:10.845,1500,FIC1512,CHANGE,,,PIDA.OP,75.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:09.813,1500,FIC1512,CHANGE,,,PIDA.OP,76.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:09.253,1500,FIC1512,CHANGE,,,PIDA.OP,77.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:08.368,1500,FIC1512,CHANGE,,,PIDA.OP,78.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:08.479,1500,FIC1512,CHANGE,,,PIDA.OP,79.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:08.807,1500,FIC1512,CHANGE,,,PIDA.OP,80.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:07.204,1500,FIC1512,CHANGE,,,PIDA.OP,81.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:07.706,1500,FIC1512,CHANGE,,,PIDA.OP,82.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:07.029,1500,FIC1512,CHANGE,,,PIDA.OP,83.2314,%,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:04.402,1500,FIC1512,CHANGE,,,pida.mode,MAN,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:38:03.500,1500,FIC1512,PVLOLO,,H 00,BL1501 SUCTION,178.798,Nm3/min,ALARM,True,New alarm: PVLOLO
3/1/2025 23:37:58.000,1500,FI1514BM,PVLOW,,L 00,DR1501 BM FLOW,214.473,Nm3/min,ALARM,True,New alarm: PVLOW
3/1/2025 23:37:57.600,1500,FIC1512,PVLOW,,L 00,BL1501 SUCTION,237.546,Nm3/min,ALARM,True,New alarm: PVLOW
3/1/2025 23:37:56.570,1500,EI1505,PVLOLO,ACK,,BL1501 CURRENT,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:37:51.100,1500,EI1505,PVLOLO,,H 00,BL1501 CURRENT,3.927,amp,ALARM,True,New alarm: PVLOLO
3/1/2025 23:37:45.118,1500,FIC1512,CHANGE,,,PIDA.SP,320,Nm3/min,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:37:37.549,1500,FIC1512,CHANGE,,,PIDA.SP,350,Nm3/min,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:35:36.234,8100,AI_PH10,ALARM,ACK PNT,,EFFULUENT CHANEL OLD W/S,,,OPERATOR_ACTION,False,Operator action: ACK PNT
3/1/2025 23:35:36.234,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:35:36.234,8100,AI_PH10,PVLOLO,ACK,,EFFULUENT CHANEL OLD W/S,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:34:27.500,8200,PI8114,PVLOW,OK,L 00,LOW PRESSURE NITROGEN,4.60002,Kg/cm2G,OPERATOR_ACTION,False,Operator action: OK
3/1/2025 23:33:48.765,1500,PIC1511,PVHIGH,ACK,,DR1501 TOP,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:33:42.300,1500,PIC1511,PVHIGH,,L 00,DR1501 TOP,36.8132,mmH2O,ALARM,True,New alarm: PVHIGH
3/1/2025 23:33:03.691,1500,EI1504A1,PVLOW,ACK,,CE1501A CURRENT,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:33:01.948,1500,EI1504B1,PVLOW,ACK,,CE1501B CURRENT,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:31:18.162,1500,CE1501B1,OFFNRM,ACK,,CENTRIFUGE,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:29:47.600,01,EV_SUMM,OFFNRM,,J 00,Dryer Stop,ON,,UNKNOWN,False,Unknown condition: OFFNRM
3/1/2025 23:29:43.700,1500,EI1504B1,PVLOW,,L 00,CE1501B CURRENT,3.2107,amp,ALARM,True,New alarm: PVLOW
3/1/2025 23:29:42.200,1500,CE1501B1,OFFNRM,,H 00,CENTRIFUGE,STOP,,UNKNOWN,False,Unknown condition: OFFNRM
3/1/2025 23:29:39.700,8100,AI_PH10,PVLOLO,,H 00,EFFULUENT CHANEL OLD W/S,6.17406,pH,ALARM,True,New alarm: PVLOLO
3/1/2025 23:29:13.929,1500,CE1501A1,OFFNRM,ACK,,CENTRIFUGE,,,OPERATOR_ACTION,False,Operator action: ACK
