Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,Source_File,Interval_Start,Hits_in_10min
2025-09-28 08:29:11,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:29:10,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:29:00,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:28:41,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:28:35,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:28:32,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:28:29,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:20:00,11
2025-09-28 08:24:15,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:20:00,11
2025-09-28 07:38:02,4600,P_4651A,BAD PV,ACK,,NEUTRALIZATION PUMP,,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:58,4600,P_4651A,OFFNRM,ACK,,FAILING Alarms,,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:49,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:48,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:44,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:44,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:41,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:41,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:34,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:34,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:09,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:08,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:08,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:08,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:37:01,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:37:02,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:59,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:59,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:46,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:46,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:42,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:42,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:22,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:22,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:22,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:22,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:06,4600,P_4651A,OFFNRM,ACK,,FAILING Alarms,,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:05,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:05,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:36:03,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:36:03,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:58,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:58,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:57,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:57,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:51,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:51,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:45,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:45,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:37,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:37,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:35,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:35,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:33,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:33,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:32,4600,P_4651A,OFFNRM,,L 00,FAILING Alarms,ON,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:32,4600,P_4651A,BAD PV,,L 00,NEUTRALIZATION PUMP,TRIP,,1.csv,2025-09-28 07:30:00,24
2025-09-28 07:35:24,4600,P_4651A,OFFNRM,OK,L 00,FAILING Alarms,OFF,,1.csv,2025-09-28 07:30:00,25
2025-09-28 07:35:24,4600,P_4651A,BAD PV,OK,L 00,NEUTRALIZATION PUMP,STOP,,1.csv,2025-09-28 07:30:00,24
